Plot,Easting(m),Northing(m),Altitude,RtkStdLon,RtkStdLat,RtkStdHgt,mean.B1_Blue,mean.B2_Green,mean.B3_Red,mean.B4_RedEdge,mean.B5_NIR,Mean_NDVI,Mean_EVI,Mean_OSAVI,Mean_TDVI,Mean_GDVI
S2P01,522436.7471,7339129.677,1162.106,0.01304,0.01067,0.02843,26408.5234375,27928.708984375,22999.3359375,34103.88671875,36599.15625,0.24498187005519867,-0.5393775701522827,0.24498113989830017,0.5393134951591492,8670.4462890625
S2P02,522437.5043,7339139.237,1162.406,0.01333,0.01085,0.0277,33836.19140625,34944.4765625,30569.1484375,39355.703125,39048.4765625,0.1418469250202179,-0.4052301049232483,0.14184655249118805,0.3243318796157837,4104.0048828125
S2P03,522447.4235,7339123.559,1161.767,0.01165,0.01178,0.02762,29238.216796875,30348.759765625,26184.466796875,36470.29296875,38781.5,0.2071957141160965,-8.32528018951416,0.20719516277313232,0.47306907176971436,8432.73828125
S2P04,522459.8384,7339132.999,1162.041,0.01415,0.01176,0.02685,23708.423828125,24638.76171875,22411.984375,31028.015625,33110.11328125,0.2196829915046692,-0.5119644403457642,0.2196822315454483,0.5138373970985413,8471.349609375
S2P05,522477.6889,7339147.379,1162.254,0.01233,0.01128,0.02539,25363.67578125,26621.73828125,23089.583984375,31604.62109375,35710.953125,0.22734425961971283,15.032976150512695,0.2273436039686203,0.5339592099189758,9089.21484375
S2P06,522472.4167,7339124.144,1162.283,0.01168,0.01133,0.02408,22813.90234375,22070.830078125,21067.759765625,25150.5546875,27042.8125,0.13544918596744537,-0.46375417709350586,0.13544869422912598,0.33375757932662964,4971.98193359375
S2P07,522452.5768,7339123.498,1161.795,0.01256,0.01285,0.03017,28423.80859375,29037.86328125,25423.23046875,33823.64453125,34402.3671875,0.15984870493412018,-2.463151693344116,0.15984822809696198,0.3730747699737549,5364.5029296875
S2P08,522436.2139,7339115.749,1161.758,0.0154,0.01217,0.02618,17801.333984375,20140.12109375,16965.74609375,32230.19140625,35199.546875,0.3421732783317566,9.032855033874512,0.34217217564582825,0.7239068150520325,15059.4248046875
S2P09,522440.263,7339120.811,1161.772,0.01781,0.01329,0.03115,21160.1328125,22182.912109375,18078.908203125,29364.556640625,31833.748046875,0.2677991986274719,0.4841116666793823,0.2677983045578003,0.5885730981826782,9650.837890625
S2P10,522461.6082,7339108.94,1161.65,0.01296,0.0119,0.02549,25094.33984375,21803.228515625,21756.15234375,35404.21484375,38823.359375,0.307452917098999,-1.3922398090362549,0.307451993227005,0.6390089392662048,17020.1328125
S2P11,522453.7781,7339138.129,1162.04,0.01313,0.01189,0.02691,27354.591796875,26692.4921875,23259.09375,29564.67578125,30918.673828125,0.14765053987503052,-1.5751590728759766,0.1476500779390335,0.3576531410217285,4226.18212890625
S2P12,522461.7726,7339125.614,1161.959,0.01382,0.01215,0.02719,19184.583984375,18186.5078125,16659.705078125,30406.94921875,32669.6875,0.32665932178497314,0.24407123029232025,0.3266582190990448,0.7029141187667847,14483.1787109375
S2P13,522465.6958,7339124.268,1161.982,0.01418,0.01167,0.02711,22401.525390625,21783.400390625,18955.091796875,34978.47265625,37451.3515625,0.33693602681159973,-0.22574321925640106,0.33693501353263855,0.7095744013786316,15667.9501953125
S2P14,522479.5897,7339143.895,1162.182,0.0129,0.01323,0.02969,26717.1328125,27783.947265625,22579.98046875,34232.05859375,36705.6015625,0.2527664005756378,-1.3462443351745605,0.2527656853199005,0.5628644227981567,8921.6552734375
S2P15,522442.2581,7339141.171,1162.213,0.01332,0.01306,0.02477,29333.689453125,29115.94140625,25791.505859375,34915.1640625,34973.77734375,0.15778286755084991,-1.1940395832061768,0.1577824354171753,0.3659229874610901,5857.833984375
S2P16,522436.8121,7339145.819,1162.487,0.01335,0.01148,0.02679,25719.640625,27815.1953125,23931.41796875,35792.625,36930.17578125,0.23382574319839478,0.5085937976837158,0.23382504284381866,0.49699506163597107,9114.9833984375
S2P17,522470.0052,7339124.153,1162.174,0.01411,0.01149,0.03085,25739.1484375,25932.99609375,23542.896484375,34064.21875,36238.92578125,0.2296406477689743,-0.4596027135848999,0.22963997721672058,0.5221527218818665,10305.9306640625
S2P18,522468.0425,7339145.761,1162.125,0.01169,0.01114,0.02506,35383.41796875,35495.25,33590.2890625,38563.52734375,37619.98828125,0.06891637295484543,-0.05937952175736427,0.0689161866903305,0.16325439512729645,2124.73681640625
