AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB,Mean_Canopy_Height(m),B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,grazing_value
1,S1P28,T.terrestris,Low,66.53,194.5321637,0.041990221,20819.55664,22565.12305,20212.82227,32863.6875,37253.05859,0.29951489,3.040246964,0.299514025,0.654640853,14687.93457,80.09
1,S1P29,S.uniplumis,Average,25.02,73.15789474,0.006548752,27907.27344,28193.18359,26333.03516,31685.24805,33834.46484,0.141156256,2.176799536,0.141155794,0.34785217,5641.28125,114.14
1,S1P30,S.uniplumis,Average,44.97,131.4912281,0.023593675,32326.125,32924.98047,31586.35547,37518.89844,39283.82813,0.117334843,-1.055860758,0.117334537,0.286592007,6358.852051,196.89
2,S2P01,S.kalihariensis,Low,25.47,74.47368421,0.009235649,26408.52344,27928.70898,22999.33594,34103.88672,36599.15625,0.24498187,-0.53937757,0.24498114,0.539313495,8670.446289,25.47
2,S2P02,S.kalihariensis,Low,18.3,53.50877193,0.014859102,33836.19141,34944.47656,30569.14844,39355.70313,39048.47656,0.141846925,-0.405230105,0.141846552,0.32433188,4104.004883,18.3
2,S2P03,S.kalihariensis,Low,20.52,60,0.019226111,29238.2168,30348.75977,26184.4668,36470.29297,38781.5,0.207195714,-8.32528019,0.207195163,0.473069072,8432.738281,20.52
2,S2P04,S.uniplumis,Average,294.14,860.0584795,0.115303524,23708.42383,24638.76172,22411.98438,31028.01563,33110.11328,0.219682992,-0.51196444,0.219682232,0.513837397,8471.349609,1452.74
2,S2P05,S.uniplumis,Average,182.33,533.128655,0.024649246,25363.67578,26621.73828,23089.58398,31604.62109,35710.95313,0.22734426,15.03297615,0.227343604,0.53395921,9089.214844,892.53
2,S2P06,S.uniplumis,Average,165.81,484.8245614,0.082453005,22813.90234,22070.83008,21067.75977,25150.55469,27042.8125,0.135449186,-0.463754177,0.135448694,0.333757579,4971.981934,782.37
2,S2P07,S.kalihariensis,Low,20.41,59.67836257,0.012806531,28423.80859,29037.86328,25423.23047,33823.64453,34402.36719,0.159848705,-2.463151693,0.159848228,0.37307477,5364.50293,24.89
2,S2P08,T.terrestris,Low,60.39,176.5789474,0.084626764,17801.33398,20140.12109,16965.74609,32230.19141,35199.54688,0.342173278,9.032855034,0.342172176,0.723906815,15059.4248,60.39
2,S2P09,T.terrestris,Low,46.9,137.1345029,0.052185129,21160.13281,22182.91211,18078.9082,29364.55664,31833.74805,0.267799199,0.484111667,0.267798305,0.588573098,9650.837891,46.9
2,S2P10,T.terrestris,Low,42.87,125.3508772,0.0898811,25094.33984,21803.22852,21756.15234,35404.21484,38823.35938,0.307452917,-1.392239809,0.307451993,0.639008939,17020.13281,42.87
2,S2P11,S.uniplumis,Average,88.67,259.2690058,0.041789904,27354.5918,26692.49219,23259.09375,29564.67578,30918.67383,0.14765054,-1.575159073,0.147650078,0.357653141,4226.182129,371.87
2,S2P12,T.terrestris,Low,56.23,164.4152047,0.039300244,19184.58398,18186.50781,16659.70508,30406.94922,32669.6875,0.326659322,0.24407123,0.326658219,0.702914119,14483.17871,56.23
2,S2P13,T.terrestris,Low,41.93,122.6023392,0.08508575,22401.52539,21783.40039,18955.0918,34978.47266,37451.35156,0.336936027,-0.225743219,0.336935014,0.709574401,15667.9502,41.93
2,S2P14,S.kalihariensis,Low,27.56,80.58479532,0.010585937,26717.13281,27783.94727,22579.98047,34232.05859,36705.60156,0.252766401,-1.346244335,0.252765685,0.562864423,8921.655273,27.56
2,S2P15,T.terrestris,Low,28.73,84.00584795,0.006244821,29333.68945,29115.94141,25791.50586,34915.16406,34973.77734,0.157782868,-1.194039583,0.157782435,0.365922987,5857.833984,33.61
2,S2P16,T.terrestris,Low,43.49,127.1637427,0.044647336,25719.64063,27815.19531,23931.41797,35792.625,36930.17578,0.233825743,0.508593798,0.233825043,0.496995062,9114.983398,47.45
2,S2P17,S.kalihariensis,Low,22.17,64.8245614,0.008487211,25739.14844,25932.99609,23542.89648,34064.21875,36238.92578,0.229640648,-0.459602714,0.229639977,0.522152722,10305.93066,23.37
2,S2P18,S.uniplumis,Average,41.84,122.3391813,0.012442925,35383.41797,35495.25,33590.28906,38563.52734,37619.98828,0.068916373,-0.059379522,0.068916187,0.163254395,2124.736816,179.76
2,S2P19,S.kalihariensis,Low,23.66,69.18128655,0.016819205,26946.63477,27090.02344,22434.45898,31154.29102,33337.01953,0.209720463,-0.730308533,0.209719792,0.464380592,6246.996094,23.66
