AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB (g/m2),Mean_Canopy_Height(m),NDVI,EVI,OSAVI,TDVI,GDVI,PredictedCHM,PredictedNDVI
2,S2P04,S.uniplumis,Average,294.14,860.0584795,0.115303524,0.219682992,-0.51196444,0.219682232,0.513837397,8471.349609,333.38182836777133,136.93793362835126
2,S2P05,S.uniplumis,Average,182.33,533.128655,0.024649246,0.22734426,15.03297615,0.227343604,0.53395921,9089.214844,117.18785231725296,136.9367911765886
2,S2P06,S.uniplumis,Average,165.81,484.8245614,0.082453005,0.135449186,-0.463754177,0.135448694,0.333757579,4971.981934,255.03931133914196,136.95049461174753
2,S2P07,S.kalihariensis,Low,20.41,59.67836257,0.012806531,0.159848705,-2.463151693,0.159848228,0.37307477,5364.50293,88.9451295294424,136.9468561443959
2,S2P08,T.terrestris,Low,60.39,176.5789474,0.084626764,0.342173278,9.032855034,0.342172176,0.723906815,15059.4248,260.2233314599089,136.91966782128745
2,S2P09,T.terrestris,Low,46.9,137.1345029,0.052185129,0.267799199,0.484111667,0.267798305,0.588573098,9650.837891,182.85592845406666,136.93075851771675
2,S2P10,T.terrestris,Low,42.87,125.3508772,0.0898811,0.307452917,-1.392239809,0.307451993,0.639008939,17020.13281,272.753967811625,136.9248453372842
2,S2P11,S.uniplumis,Average,88.67,259.2690058,0.041789904,0.14765054,-1.575159073,0.147650078,0.357653141,4226.182129,158.06520622593587,136.94867514029914
2,S2P12,T.terrestris,Low,56.23,164.4152047,0.039300244,0.326659322,0.24407123,0.326658219,0.702914119,14483.17871,152.1278196371426,136.92198126945013
2,S2P13,T.terrestris,Low,41.93,122.6023392,0.08508575,0.336936027,-0.225743219,0.336935014,0.709574401,15667.9502,261.31792964634553,136.92044880253448
2,S2P14,S.kalihariensis,Low,27.56,80.58479532,0.010585937,0.252766401,-1.346244335,0.252765685,0.562864423,8921.655273,83.64941644622833,136.93300021538
2,S2P15,T.terrestris,Low,28.73,84.00584795,0.006244821,0.157782868,-1.194039583,0.157782435,0.365922987,5857.833984,73.29664381109112,136.9471642029473
2,S2P16,T.terrestris,Low,43.49,127.1637427,0.044647336,0.233825743,0.508593798,0.233825043,0.496995062,9114.983398,164.8796621898782,136.93582465490078
2,S2P17,S.kalihariensis,Low,22.17,64.8245614,0.008487211,0.229640648,-0.459602714,0.229639977,0.522152722,10305.93066,78.64433639274645,136.93644873816737
2,S2P18,S.uniplumis,Average,41.84,122.3391813,0.012442925,0.068916373,-0.059379522,0.068916187,0.163254395,2124.736816,88.07799530709687,136.96041601503066
2,S2P19,S.kalihariensis,Low,23.66,69.18128655,0.016819205,0.209720463,-0.730308533,0.209719792,0.464380592,6246.996094,98.51462769095815,136.93941924519913
2,S2P20,S.uniplumis,Average,250.63,732.83625730000006,0.111316085,0.154355541,-0.696418643,0.154354885,0.351406932,2409.103027,323.87251109463716,136.9476752875057
2,S2P21,S.uniplumis,Average,163.07,476.8128655,0.115486056,0.023625823,-0.114459753,0.02362573,0.046053965,-2196.485107,333.8171340114438,136.96716976241038
2,S2P22,S.kalihariensis,Low,40.38,118.0701754,0.026190871,0.246171117,-39.69353485,0.246170342,0.523488641,8706.887695,120.86434774231034,136.9339837071246
2,S2P23,T.terrestris,Low,35.87,104.8830409,0.023049757,0.258626908,-22.64729118,0.258626163,0.569778502,12775.86426,113.37336176933786,136.93212629391525
2,S2P24,T.terrestris,Low,31.51,92.13450292,0.019692067,0.158884317,-0.488456786,0.15888378,0.368200153,4907.540527,105.36588140040189,136.9469999543723
2,S2P25,S.kalihariensis,Low,13.55,39.61988304,0.012759604,0.080545701,-0.422469407,0.080545425,0.161212295,5223.175293,88.83321716371682,136.95868184435912
2,S2P26,T.terrestris,Low,40.7,119.005848,0.008574249,0.162979782,-9.269069672,0.162979275,0.374024689,6992.352539,78.85190620304803,136.946389236772
2,S2P27,S.uniplumis,Average,87.18,254.9122807,0.012195224,0.122353144,-0.978879333,0.122352712,0.283963978,6131.544434,87.48727344329592,136.95244749947668
2,S2P28,S.uniplumis,Average,40.9,119.5906433,0.021606976,0.190505102,-0.47726509,0.190504491,0.442801416,6262.992188,109.93259131876803,136.942284648556
2,S2P29,S.kalihariensis,Low,29.36,85.84795322,0.012509793,0.173818111,-0.259400636,0.17381762,0.390134484,5377.197754,88.23746333342152,136.94477302023049
2,S2P30,S.uniplumis,Average,109.59,320.4385965,0.047119942,0.070370749,-0.409679919,0.07037048,0.177578434,908.6340332,170.77637808834208,136.96019913782118
3,S3P01,S.uniplumis,Average,72.17,211.0233918,0.30166927,0.119315751,0.766345382,0.119315274,0.305278778,2410.946777,777.8302594430371,136.95290043689994
3,S3P02,S.uniplumis,Average,81.48,238.245614,0.008997109,0.122158304,-0.082584307,0.122157834,0.287362128,1327.164673,79.8603504456101,136.95247655410594
3,S3P03,S.ciliata,High,93.29,272.7777778,0.090195157,0.036050763,0.355160028,0.036050584,0.076175265,-692.6140137,273.5029366748098,136.96531694971614
3,S3P04,S.uniplumis,Average,22.15,64.76608187,0.008128639,0.024026567,-0.059494264,0.024026504,0.051713269,-904.2775879,77.78920734544009,136.96711000328315
3,S3P05,E.pallens,Low,91.04,266.1988304,0.122959428,0.233292311,-0.623044372,0.233291447,0.543323219,5602.061523,351.6397678995501,136.93590420052283
3,S3P06,S.uniplumis,Average,45.04,131.6959064,0.050071664,0.00978388,-0.069240667,0.009783828,0.020816168,-2097.114258,177.81569856448982,136.96923387923533
3,S3P07,S.ciliata,High,113.07,330.6140351,0.04740525,0.211215958,-0.844326675,0.211215213,0.503687263,5027.65625,171.45678581183662,136.93919623630572
