Harvest plot ID,Partition ,Dry weight [g]
S3P01,Stipagrostis uniplumis,39.25
S3P01,Schmidtia pappophoroides,32.92
S3P02,Stipagrostis uniplumis,74.5
S3P02,Schmidtia pappophoroides,6.98
S3P03,Tall Bushman,93.29
S3P04,Tall Bushman,8.64
S3P04,Stipagrostis uniplumis,13.51
S3P05,Stipagrostis uniplumis,34.37
S3P05,Eragrostis pallens,56.67
S3P06,Stipagrostis uniplumis,45.04
S3P07,Tall Bushman,113.07
S3P08,Stipagrostis uniplumis,78.87
S3P09,Stipagrostis uniplumis,37.86
S3P10,Tall Bushman,137.52
S3P10,Stipagrostis uniplumis,11.72
S3P11,Stipagrostis uniplumis,15.26
S3P11,Schmidtia pappophoroides,73.72
S3P12,Eragrostis pallens,135.94
S3P13,Tall Bushman,143.49
S3P13,Stipagrostis uniplumis,44.97
S3P14,Stipagrostis uniplumis,229.93
S3P15,Stipagrostis uniplumis,189.88
S3P16,Stipagrostis uniplumis,137.53
S3P17,Tall Bushman,59.16
S3P17,Stipagrostis uniplumis,50.67
S3P18,Stipagrostis uniplumis,4.02
S3P18,Schmidtia kalihariensis,3.92
S3P19,Schmidtia pappophoroides,16.34
S3P20,Schmidtia pappophoroides,131.64
S3P21,Stipagrostis uniplumis,192.53
S3P22,Stipagrostis uniplumis,8.09
S3P22,Schmidtia pappophoroides,60.73
S3P23,Stipagrostis uniplumis,78.97
S3P24,Tall Bushman,119.65
S3P25,Tall Bushman,46.03
S3P25,Stipagrostis uniplumis,34.05
S3P25,Forb 1,8.59
S3P26,Tall Bushman,82.44
S3P26,Stipagrostis uniplumis,16.44
S3P27,Stipagrostis uniplumis,32.65
S3P27,Forb 1,0.21
S3P27,Forb 2,0.9
S3P28,Schmidtia pappophoroides,100.28
S3P29,Tall Bushman,11.17
S3P29,Schmidtia kalihariensis,16.37
S3P30,Stipagrostis uniplumis,40.03
S3P30,Schmidtia pappophoroides,130.54
