AOI,Plot_ID,Easting_m,Northing_m,Species,Value,total_AGB (g),AGB_g_m_2,Mean_Canopy_Height_m,B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,TCARI,MCARI,NDRE,GCI,grazing_value
1,S1P22,522826.3968,7337005.358,T.terrestris,1,34.87,101.9590643,0.005545678,28240.45313,29083.23828,28119.78516,33992.07422,36822.14063,0.13567856,-1.268562555,0.135678217,0.341237873,7738.902344,25298.5957,10963.71875,0.040958293,0.280539602,101.9590643
1,S1P23,522833.0577,7337001.747,T.terrestris,1,18.93,55.35087719,0.005345363,32009.03125,32457.15625,31974.22266,35777.85156,38352.28516,0.093530014,0.224004015,0.093529798,0.245856568,5895.126953,18693.86328,7030.757324,0.035938419,0.199561208,55.3508772
1,S1P24,522838.9044,7336998.049,T.terrestris,1,19.71,57.63157895,0.011526893,29909.91406,29671.08398,27135.15625,33582.19531,36110.04297,0.143219769,-0.166488171,0.143219396,0.322749346,6438.959961,25635.99805,15222.07715,0.037569121,0.288778722,57.63157895
1,S1P25,522844.1557,7337001.93,T.terrestris,1,25.81,75.46783626,0.046475358,32782.51172,35156.31641,31332.53711,42383.21484,43794.46875,0.178001553,0.182843819,0.178001136,0.40906018,8638.150391,35806.24609,20986.08398,0.017365286,0.3082259,138.0409357
1,S1P26,522847.6953,7337000.212,T.terrestris,1,44.04,128.7719298,0.024595976,28622.22852,30146.39844,25245.64258,37376.16016,39962.26172,0.235090226,-6.107622147,0.235089615,0.542590618,9815.865234,42405.10938,24885.08789,0.03453479,0.368408769,226.4327486
1,S1P27,522852.4066,7337003.722,T.terrestris,1,24.85,72.66081871,0.016770435,27899.14258,26798.37695,25882.87891,29593.83398,32270.35742,0.113626547,0.202170804,0.113626212,0.271946669,5471.979004,18444.20117,9039.527344,0.046809766,0.249116287,72.66081872
1,S1P28,522848.3741,7337007.576,T.terrestris,1,66.53,194.5321637,0.041990221,20819.55664,22565.12305,20212.82227,32863.6875,37253.05859,0.29951489,3.040246964,0.299514025,0.654640853,14687.93457,47874.06641,32531.25781,0.063621521,0.766269922,234.1812865
1,S1P29,522832.2274,7337019.655,S.uniplumis,2,25.02,73.15789474,0.006548752,27907.27344,28193.18359,26333.03516,31685.24805,33834.46484,0.141156256,2.176799536,0.141155794,0.34785217,5641.28125,21865.99805,10035.625,0.036333296,0.238339901,333.7426901
1,S1P30,522827.8207,7337024.124,S.uniplumis,2,44.97,131.4912281,0.023593675,32326.125,32924.98047,31586.35547,37518.89844,39283.82813,0.117334843,-1.055860758,0.117334537,0.286592007,6358.852051,22260.44531,10595.52148,0.025675762,0.248351276,575.7017545
2,S2P01,522436.7471,7339129.677,S.kalihariensis,1,25.47,74.47368421,0.009235649,26408.52344,27928.70898,22999.33594,34103.88672,36599.15625,0.24498187,-0.53937757,0.24498114,0.539313495,8670.446289,38887.98438,27967.99609,0.036241092,0.373739392,74.47368421
2,S2P02,522437.5043,7339139.237,S.kalihariensis,1,18.3,53.50877193,0.014859102,33836.19141,34944.47656,30569.14844,39355.70313,39048.47656,0.141846925,-0.405230105,0.141846552,0.32433188,4104.004883,24484.08398,14508.77539,-0.002176888,0.178890869,53.50877193
